Tipo,Habitaciones,Ba�os,Area,Barrio,Valor
Apartamento,3,3,121,La Calleja,700000000
Apartamento,3,3,150,La Calleja,990000000
Apartamento,3,3,102,Zona Noroccidental,600000000
Apartamento,3,3,122,Cedritos,516000000
Apartamento,3,3,82,Cedritos,350000000
Apartamento,2,2,78,Bella Suiza,475000000
Apartamento,3,2,141,Chapinero,749000000
Casa,4,3,280,Zona Noroccidental,1195000000
Apartamento,2,2,75,Usaquén,498000000
Apartamento,1,1,35,Santa Barbara,269000000
Apartamento,2,1,43,Zona Noroccidental,153000000
Apartamento,4,3,82,Zona Noroccidental,335000000
Apartamento,3,2,77,Zona Noroccidental,399000000
Apartamento,1,2,51,Cedritos,373000000
Apartamento,2,2,70,El Contador,415000000
Apartamento,3,4,180,Bella Suiza,1550000000
Apartamento,3,3,90,El Contador,460000000
Apartamento,2,1,52,Cedritos,225000000
Apartamento,3,2,58,Rafael Uribe Uribe,200000000
Apartamento,2,2,50,Zona Noroccidental,234000000
Apartamento,4,2,73,Zona Noroccidental,199000000
Apartamento,2,2,83,Bella Suiza,450000000
Apartamento,5,5,375,Santa Barbara,1400000000
Apartamento,3,2,49,Engativa,202000000
Apartamento,2,2,54,Bella Suiza,350000000
Apartamento,2,3,85,Santa Barbara,519000000
Apartamento,2,2,60,Usaquén,310000000
Apartamento,3,3,70,Zona Noroccidental,355000000
Apartamento,3,2,108,Colina Campestre,545000000
Apartamento,2,2,89,Chapinero,720000000
Apartamento,3,2,95,Chapinero,650000000
Apartamento,3,2,87,Cedritos,343000000
Apartamento,3,1,46,Usme,127000000
Apartamento,3,2,70,Ciudad Salitre,370000000
Apartamento,3,1,57,Kennedy,162000000
Apartamento,3,4,300,Zona Noroccidental,1560000000
Apartamento,3,1,48,Usme,136000000
Casa,4,2,90,Engativa,265000000
Apartamento,2,1,43,Usme,131000000
Casa,3,2,114,Usaquén,416000000
Apartamento,2,1,43,Zona Noroccidental,161000000
Casa,4,3,210,El Contador,900000000
Casa,4,2,105,Nueva Zelandia,389000000
Apartamento,3,1,54,Usaquén,190000000
Apartamento,3,1,50,Usme,139000000
Apartamento,2,2,70,Cedritos,319000000
Apartamento,1,2,52,Cedritos,327000000
Apartamento,1,2,70,La Calleja,474500000
Apartamento,1,2,48,Cedritos,308000000
Apartamento,3,3,134,Zona Noroccidental,720000000
Apartamento,3,2,66,Cedritos,310000000
Apartamento,2,1,40,Madelena,177500000
Casa,4,3,222,Zona Noroccidental,1200000000
Apartamento,3,2,77,El Plan,380000000
Apartamento,3,2,53,Suba,210000000
Casa,14,7,360,Kennedy,1290000000
Apartamento,3,2,77,Cedritos,320000000
Apartamento,1,2,60,San Patricio,445000000
Apartamento,3,2,91,Usaquén,340000000
Apartamento,3,3,114,Santa Barbara,510000000
Casa,7,3,240,Usaquén,465000000
Apartamento,2,1,42,Villa Alsacia,220000000
Apartamento,3,2,69,Hayuelos,337000000
Apartamento,2,2,54,Kennedy,260000000
Apartamento,3,3,98,Tintala,445000000
Apartamento,3,2,74,Tintala,290000000
Apartamento,2,2,56,Nueva Zelandia,342514000
Apartamento,2,3,89,Santa Paula,625000000
Apartamento,3,2,90,Zona Noroccidental,490000000
Apartamento,3,2,71,Usaquén,350000000
Apartamento,3,2,90,Cedritos,444150000
Apartamento,3,2,78,Villemar,360000000
Apartamento,1,2,54,Santa Fe,370000000
Apartamento,3,2,52,Kennedy,150000000
Apartamento,2,2,54,Tintala,232500000
Apartamento,3,2,64,Kennedy,271000000
Apartamento,1,2,60,Santa Fe,450000000
Apartamento,3,2,55,Tintala,163500000
Apartamento,4,2,88,Kennedy,390000000
Casa,3,2,89,Zona Noroccidental,300000000
Apartamento,3,3,85,Mazuren,406000000
Apartamento,1,2,61,Bella Suiza,465000000
Apartamento,2,2,62,El Contador,390000000
Apartamento,2,1,37,Antonio Nariño,175000000
Apartamento,2,2,91,El Batán,445000000
Apartamento,2,2,60,Usaquén,422000000
Apartamento,3,4,112,Zona Noroccidental,690000000
